Date,Time,BakV(V),EscT(°C),EscT(°C).1,Cels(V),GAlt(m),GSpd(kmh),Hdg(°),Gvs(m/s),Sats,5104,5105,GPS,Date.1,Alt(m),VFR(%),AltR(m),VSpR(m/s),GeaV(V),RSSI(dB),TRSS(dB),TQly,RxV(V),VSpd(m/s),ASpd(kmh),EscR(rpm),EscC(mAh),EscV(V),EscA(A),EscT(°C).2,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-03-24,14:49:24.620,7.89,0.0,0.0,24.06,444.6,0.0,179.63,0.0,19.0,1146052.0,108.0,47.300330 8.742433,2026-03-24 13:44:50,12.3,100.0,7.6,-0.02,6.0,86.0,90.0,100.0,6.1,0.0,2.9,0.0,0.0,24.1,0.0,33.0,0.0,-1.0,1024.0,1.0,-6.0,-1024.0,-601.0,-964.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000040010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:25.120,7.89,0.0,0.0,24.06,444.6,0.0,179.63,0.0,19.0,1148588.0,108.0,47.300330 8.742433,2026-03-24 13:44:50,12.5,100.0,7.6,-0.03,6.0,87.0,96.0,100.0,6.1,0.0,2.8,0.0,0.0,24.1,0.0,33.0,0.0,-1.0,1024.0,0.0,-6.0,-1024.0,-601.0,-964.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:25.620,7.89,0.0,0.0,24.06,444.6,0.0,179.63,0.0,19.0,1148366.0,108.0,47.300330 8.742433,2026-03-24 13:44:50,12.1,100.0,7.6,-0.03,6.0,87.0,92.0,100.0,6.1,0.35,2.4,0.0,0.0,24.1,0.0,33.0,0.0,-1.0,1024.0,0.0,-6.0,-1024.0,-601.0,-1023.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:26.120,7.89,0.0,0.0,24.06,444.6,0.1,179.63,0.0,19.0,1148477.0,108.0,47.300330 8.742433,2026-03-24 13:44:50,12.3,100.0,7.6,0.0,6.0,85.0,95.0,100.0,6.1,0.35,2.8,0.0,0.0,24.1,0.0,33.0,0.0,-1.0,1024.0,0.0,-6.0,-1024.0,-601.0,-1024.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:26.620,7.89,0.0,0.0,24.06,444.6,0.0,179.63,0.0,19.0,1148144.0,108.0,47.300330 8.742433,2026-03-24 13:44:50,12.3,100.0,7.6,-0.05,6.0,86.0,95.0,100.0,6.1,0.34,2.0,0.0,0.0,24.1,0.0,33.0,-1.0,-1.0,1024.0,0.0,-6.0,-1024.0,-601.0,-1024.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:27.120,7.89,0.0,0.0,24.06,444.6,0.1,179.63,0.0,19.0,1149688.0,108.0,47.300330 8.742433,2026-03-24 13:44:53,12.3,100.0,7.7,0.07,6.0,87.0,94.0,100.0,6.1,-0.35,1.5,0.0,0.0,24.1,0.0,33.0,-1.0,-1.0,1024.0,0.0,-6.0,-1024.0,-601.0,-1024.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:27.620,7.89,0.0,0.0,24.06,444.6,0.1,179.63,0.0,19.0,1147263.0,108.0,47.300330 8.742433,2026-03-24 13:44:53,12.5,100.0,7.7,0.15,6.0,86.0,95.0,100.0,6.1,0.0,1.2,0.0,0.0,24.1,0.0,33.0,0.0,-1.0,1024.0,0.0,-6.0,-1024.0,-601.0,-1024.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:28.120,7.89,0.0,0.0,24.05,444.6,0.0,179.63,0.0,19.0,1147263.0,108.0,47.300330 8.742433,2026-03-24 13:44:53,12.5,100.0,7.6,-0.07,6.0,86.0,92.0,100.0,6.1,0.35,1.2,0.0,0.0,24.1,0.0,33.0,-1.0,-1.0,1024.0,1.0,-6.0,-1024.0,-601.0,-1024.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:28.620,7.89,0.0,0.0,24.05,444.6,0.1,179.63,0.0,19.0,1147374.0,108.0,47.300330 8.742433,2026-03-24 13:44:53,12.3,100.0,7.6,-0.05,6.0,86.0,95.0,100.0,6.1,-0.35,1.4,0.0,0.0,24.1,0.0,33.0,0.0,-1.0,1024.0,1.0,-6.0,-1024.0,-601.0,-1024.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
2026-03-24,14:49:29.120,7.89,0.0,0.0,24.05,444.6,0.0,179.63,0.0,19.0,1146933.0,108.0,47.300330 8.742433,2026-03-24 13:44:53,12.5,100.0,7.6,-0.03,6.0,86.0,92.0,99.0,6.1,0.35,1.3,0.0,0.0,24.1,0.0,33.0,-1.0,-1.0,1024.0,0.0,-6.0,-1024.0,-601.0,-1024.0,-1024.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0x0000000000840010,1539.0,1488.0,988.0,1512.0,1236.0,1804.0,1489.0,886.0,1442.0,1539.0,988.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,7.9
